title,release_year,production_company,distributor,director,writer,actor_1,actor_2,actor_3,location_funfact,movie_like_counter,location_like_counter
Experiment in Terror,1962,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,"{""Wells Fargo Bank (1 California Street, Financial District)"": """", ""George Washington High School (600 32nd Avenue )"": """", ""1 Montgomery Street at Post"": """", ""100 St. Germain Avenue"": """", ""Sheraton Palace Hotel (2 Montgomery Street, Financial District)"": ""The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909."", ""The Sea Captain's Chest (Fisherman's Wharf)"": """", ""2632 Larkin Street at Lombard"": """", ""Candlestick Park"": ""Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park."", ""Roaring Twenties Nightclub (555 Broadway at Columbus)"": """"}",0,0
Homeward Bound II: Lost in San Francisco,1996,Walt Disney Pictures,Buena Vista Pictures,David R. Ellis,Sheila Burnford,Michael J. Fox,Sally Field,,"{""Pier 39 (Fisherman's Wharf)"": """"}",0,0
How Stella Got Her Groove Back,1998,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Kevin Rodney Sullivan,Terry McMillan,Angela Bassett,Taye Diggs,,"{""Marriot Hotel (55 4th Street at Market)"": """"}",0,0
Golden Gate,1994,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Ross Alley (Chinatown)"": ""Ross Alley is the oldest alley in San Francisco. "", ""Buena Vista Park (Haight Street at Buena Vista)"": ""Established in 1867, Buena Vista Park is the oldest official park in San Francisco."", ""Bush Street (between Grant & Kearny Streets)"": """", ""University of California Hastings College of the Law"": """"}",0,0
Mrs. Doubtfire,1993,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,"{""Chrissy Field"": ""Chrissy Field was originally an airfield for the Presidio Army Base. "", ""516 Green Street"": """", ""520-522A Green Street at Grant Street"": """", ""1200 Washington Street at Taylor Street"": """", ""Danilo's Bakery (Green Street & Bannam Place)"": """", ""100 Embarcadero Street"": """", ""Hancock School (940 Filbert Street)"": """"}",0,0
The OA Part II,2019,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,"{""Harrison St to Beale St to Bryant St"": """", ""Waverly Pl btwn Washington and Clay St"": """", ""Cameron House - 920 Sacramento St"": """", ""Pier 43"": """", ""Red's Java House (Pier 30-32, The Embarcadero)"": """", ""Broadway Tunnel"": """", ""Duncan St at Diamond Heights"": """", ""Washington at Taylor St - Jackson St"": """", ""Ada Court at O'Farrell St"": """", ""Mission Rock at 3rd St"": """", ""SF War Memorial Opera House"": """", ""Pier 7"": """", ""Washington btwn Gough and Octavia St"": """", ""Lafayette Park"": """", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": """", ""SFPD Headquarters - 3rd St"": """", ""724 Larkin St"": """", ""16th Avenue Steps"": """", ""Taylor St btwn Green and Broadway"": """", ""1101 Green St"": """", ""Washington at Maple"": """", ""1001 Vallejo St"": """", ""Hyde St at Pacific to Washington St"": """"}",0,0
Groove,2000,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,,"{""435 23rd Street at Illinois"": """"}",0,0
Chance- Season 1 ep110,2016,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""Cliffhouse, 1090 Point Lobos Ave."": """", ""1 Urbano"": """", ""San Francisco General Hospital"": """", ""1901 Ocean Ave. at Ashton Ave."": """", ""18 Urbano"": """", ""Ocean Park Motel"": """"}",0,0
Looking Season 2 ep 210,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""Vega Coffee, 1245 Folsom Street"": """", ""Mission Rec Center, 2450 Harrison Street"": """", ""67 Deming Street"": """", ""Twin Peaks Park"": """", ""8 Octavia Street"": """", ""SF City Hall Polk Street Steps"": """", ""Mission Street @ 22nd Street"": """", ""Willy's Barber shop, 3227 22nd Street"": """", ""BART Station @ 16th Street & Mission Streets"": """"}",0,0
A Jitney Elopement,1915,The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,"{""Golden Gate Park"": ""During San Francisco's Gold Rush era, the Park was part of an area designated as the \""Great Sand Waste\"". "", ""20th and Folsom Streets"": """"}",0,0
Looking Season 2 ep 207,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""Valenti, Marini, Perata, 4840 Mission Street"": """", ""Sparky's Diner, 242 Church Street"": """", ""Delores Park"": """", ""770 Haight Street"": """"}",0,0
I's,2011,Banshee Cinema,,Chris Edgette,Kyle Tuck,,,,"{""1 Post Street"": """"}",0,0
Joy Luck Club,1993,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,"{""Hang Ah Alley (Chinatown)"": """", ""901 Union Street"": """", ""180 Manchester Street"": """", ""Horace Mann School (3351 23rd Street)"": """", ""375 Laguna Honda Blvd."": """", ""610 Rhode Island Street (Potrero Hill)"": """"}",0,0
The Towering Inferno,1974,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,"{""2898 Vallejo Street"": """", ""Bank of America Building (555 California Street, Financial District)"": ""The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""San Francisco Fire Station 38 (2150 California Street, Pacific Heights)"": """", ""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral."", ""Hyatt Regency Hotel (5 Embarcadero Center, Financial District)"": """", ""Firestation #38 (California & Laguna)"": """"}",0,0
A View to a Kill,1985,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,"{""Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"": ""This is SF's only drawbridge, and was named after Francis Joseph \""Lefty\"" O'Doul, a local baseball hero."", ""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Taylor and Jefferson Streets (Fisherman's Wharf)"": """", ""Port of San Francisco"": """", ""Embarcadero Freeway"": ""Embarcadero Freeway, which was featured in the film, was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)"", ""Port of San Francisco "": """", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Van Ness Avenue"": """", ""Potrero Hill"": ""The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Burger Island (901 3rd Street, China Basin)"": """"}",0,0
Chance- Season 1 ep106,2016,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""60 Leavenworth St."": """", ""2 Rowland"": """", ""McAllister between Leavenworth and Hyde"": """", ""Grant between Union and Green"": """", ""Treasure Island"": ""From the late 1980s, Treasure Island's old aircraft Hangar 2 (Building 2) and Hangar 3 (Building 3) served as sound stages for film-making and TV, including\u00a0 Rent, The Pursuit of Happyness, Flubber, What Dreams May Come, Patch Adams, The Parent Trap, Bicentennial Man and the TV series Trauma."", ""Washington Square Park"": """", ""Montgomery between Pacific and Broadway"": """"}",0,0
Bitter Melon,2018,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,"{""386 4th Ave"": """", ""33 Dearborn St"": """", ""298 11th St"": """", ""Pay and Save Grocery, 599 Guerrero St"": ""The film won Best Narrative Feature at the San Diego Asian Film Festival."", ""3189 16th St"": """", ""3139 16th St"": """", ""66 Danton St"": """", ""68 Dublin St"": """", ""145 9th St"": """", ""788 Minna St"": """", ""600 Niagara Ave"": """"}",0,0
Heart Beat,1980,Orion Pictures Corporation,Orion Pictures Corporation,John Byrum,John Byrum,Nick Nolte,Sissy Spacek,John Heard,"{""City Lights Bookstore (261 Columbus)"": ""One of the country's earliest bookstores, City Lights was founded by, and still owned by beat poet Lawrence Ferlinghetti. The bookstore was often frequented by Beat writers like Allen Ginsberg and Jack Kerouac."", ""Washington Square Bar & Grill (1707 Powell)"": """", ""San Francisco Art Institute (800 Chestnut Street)"": """"}",0,0
Chance- Season 1 ep108,2016,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""Huntington Park"": """", ""1000 Mason St."": """", ""St. Mary's Square Park"": """", ""Fairmont Hotel"": ""The Fairmont Hotel was featured in many films, including The Rock and the TV series Hotel""}",0,0
City of Angels,1998,Atlas Entertainment,Warner Bros. Pictures,Brad Silberling,Dana Stevens,Nicolas Cage,Meg Ryan,,"{""San Francisco Public Library Main Branch (100 Larkin Street)"": """"}",0,0
Metro,1997,Touchstone Pictures,Buena Vista Pictures,Thomas Carter,Randy Feldman,Eddie Murphy,,,"{""Bush Street at Jones"": """"}",0,0
The House on Telegraph Hill,1951,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,Valentina Cortese,William Lundigan,"{""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way."", ""1227 Montgomery Street"": """", ""Market Street"": """", ""Telegraph Hill"": ""Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.""}",0,0
Birth of the Dragon,2016,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,"{""California at Grant"": """", ""Twin Peaks Blvd."": """", ""Spofford between Clay and Washington"": """", ""Waverly Pl between Washington and Sacramento"": """", ""Pier 45 - Jeremiah O'Brien Liberty Ship"": ""The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII."", ""Hyde at Union"": """", ""California at Mason"": """", ""Lands End Trail at Eagles Point/ Lincoln Park Golf Course"": ""The character of Steve McKee was based on actor Steve McQueen who studied with Bruce Lee in the later 60's."", ""Leavenworth at Green"": """", ""Grant between Bush and Broadway"": """", ""Leavenworth at Union"": """"}",0,0
San Francisco,1936,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy,"{""The Barbary Coast"": ""The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business."", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.""}",0,0
Midnight Lace,1960,Arwin Productions,Universal Pictures,David Miller,Ivan Goff,Doris Day,Rex Harrison,John Gavin,"{""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.""}",0,0
Rent,2005,Rent Productions LLC,Columbia Pictures,Chris Columbus,Stephen Chbosky,Anthony Rapp,Rosario Dawson,,"{""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.""}",0,0
Shoot the Moon,1982,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Alan Parker,Bo Goldman,Albert Finney,Diane Keaton,,"{""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.""}",0,0
Looking Season 2 ep 208,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""1246 Folsom Street"": """", ""Citizens Band, 1198 Folsom Street"": """", ""2450 Harrison Street"": """", ""950 Mason Street"": """", ""1111 California Street"": """"}",0,0
Zodiac,2007,Paramount Pictures,Paramount Pictures,David Fincher,James Vanderbilt,Jake Gyllenhaal,Mark Ruffalo,,"{""SF Chronicle Building (901 Mission St)"": """"}",0,0
Flower Drum Song,1961,Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,Benson Fong,"{""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
The Woman In Red,1984,Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,"{""Brocklebank Apartments (1000 Mason Street)"": """", ""Postcard Row (Alamo Square, Hayes Valley)"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire."", ""Palace of Fine Arts (3301 Lyon Street)"": ""The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965."", ""Montgomery Street at Union Street"": """"}",0,0
Chance- Season 1 ep107,2016,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""157 Commonwealth"": """", ""60 Potomac"": """", ""145 Barlett St."": """", ""Buena Vista betweeen Upper Terrace and Java St."": """", ""1461 Page St."": """", ""Punjab Caf\u00e9, 838 24th St."": """", ""1958 Valencia St."": """"}",0,0
The Internship,2013,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,"{""Montgomery and Union St."": """", ""Grant Ave from Sacramento to Clay"": """", ""Epic Roasthouse"": """", ""Players Arcade at Pier 39"": """"}",0,0
Need For Speed,2014,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,"{""Embarcadero from Broadway to Folsom"": """", ""California St from Taylor to Powell"": """", ""Mason St from Pine to Sacramento"": """", ""Powell St. from Geary to Sacramento"": """"}",0,0
"Murder in the First, Season 3",2016,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"{""887 De Haro Street"": """", ""Harriet Alley"": """", ""Hall of Justice (850 Bryant Street)"": """", ""Pier 96"": """", ""Golden Gate Park"": """", ""535 Octavia Street"": """", ""Red's Java House (Pier 30)"": """", ""Civic Center Plaza"": """", ""Howard Street at Steuart Street"": """", ""600 Octavia Street"": """", ""Ivy Street between Laguna and Gough Streets"": """", ""Patricia's Green"": """", ""2633 Vallejo Street"": """", ""500 Grove Street"": """", ""Linden Alley between Octavia and Gough Streets"": """"}",0,0
What's Up Doc?,1972,Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand,Ryan O'Neal,,"{""Hyde Street Pier"": """", ""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""San Francisco Hilton (333 O'Farrell Street)"": """", ""Lombard Street between Hyde and Leavenworth"": """", ""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Alta Plaza Park (Steiner Street)"": ""The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910."", ""22nd Avenue & Balboa Street (Richmond District)"": """"}",0,0
Chance- Season 1 ep103,2016,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""Blue Danube Caf\u00e9, 306 Clement"": """", ""878-898 Chestnut St."": """", ""San Francisco Art Institute, 800 Chestnut"": """", ""350 Santa Ana Ave."": """", ""17th and Arkansas"": """", ""The Drew School, 2901 California"": """", ""60 Potomac"": """", ""San Bruno and Alameda"": """", ""Forrest Hill Muni Station"": ""A Muni station agent played himself in this scene."", ""60 Leavenworth St."": """", ""Laguna Honda Hospital"": """"}",0,0
On the Road,2012,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,"{""Bay Bridge"": """", ""Sacramento & Montgomery Streets"": """", ""2017 23rd Street"": """", ""Filbert & Leavenworth Streets"": """"}",0,0
Broken-A Modern Love Story,2010,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,,"{""0-100 block Halleck Street"": """", ""Ina Coolbrith Park (1700 Taylor Street)"": """"}",0,0
Guess Who's Coming to Dinner,1967,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,"{""634 Raycliff Terrace"": """", ""Mel's Drive-In (Corner South Van Ness & Mission St.)"": ""This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd."", ""San Francisco International Airport"": ""SFO has a museum dedicated to aviation history."", ""Sutter Street between Powell and Mason"": """"}",0,0
Parks and Recreation,2014,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,"{""Filbert from Hyde to Leavenworth"": """", ""Columbus and Green"": """", ""Larkin & Fulton"": """", ""Embarcadero & Market"": """"}",0,0
Patch Adams,1998,Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,,"{""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident."", ""Sheraton Palace Hotel (639 Market Street)"": ""The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909."", ""Presidio (Golden Gate National Recreation Area)"": ""In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.""}",0,0
CSI: NY- episode 903,2012,CBS Television Studios,Columbia Broadcasting System,Vikki Williams,Anthony E. Zuiker,Gary Sinise,Sela Ward,,"{""Palace of Fine Arts"": """"}",0,0
By Hook or By Crook,2001,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,"{""The Lexington Club (3464 19th Street at Lexington)"": """", ""Department of Public Health (101 Grove Street at Polk, Civic Center)"": """", ""Royan Hotel (405 Valencia Street, Mission District)"": """"}",0,0
Romeo Must Die,2000,Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,"{""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Embarcadero Street"": """"}",0,0
Sausalito,2000,B.O.B and Partners,,Andrew Lau,,Maggie Cheung,Leon Lai,,"{""The Castro"": ""From 1910-1920 the Castro was called \""Little Scandinavia\"" because of its high concentration of residents of Scandinavian ancestry.""}",0,0
Seven Girlfriends,1999,White Dwarf Productions,Lions Gate Films Home Entertainment,Paul Lazarus,Paul Lazarus,Laura Leighton,Tim Daly,,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
Sister Act,1992,Touchstone Pictures,Buena Vista Pictures,Emile Ardolino,Joseph Howard,Whoopi Goldberg,Maggie Smith,,"{""St. Paul's Church (Church Street, Noe Valley)"": """"}",0,0
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,"{""Vesuvio Caf\u00e9 (255 Columbus Avenue)"": ""Jack Kerouac was a regular at the caf\u00e9."", ""Swedenborgian Church (2107 Lyon Street)"": """", ""St. John's Presbyterian Church (25 Lake Street)"": """", ""San Francisco Chronicle (901 Mission Street at 15th Street)"": ""The paper is called the San Francisco Globe in the movie."", ""Rocco's Corner (Columbus Street)"": """", ""Prudente's Italian Deli (1462 Grant Ave at Union)"": ""Prudente's Italian Deli, which has since closed, is called \""Meats of the World\"" in the film."", ""Fog City Diner (1300 Battery Street)"": """", ""Edinburgh Castle (950 Geary Street)"": """", ""City Light Bookstore (261 Columbus Avenue)"": """", ""Caf\u00e9 Picaro 3120 16th Street"": """", ""Alcatraz Island"": ""Alcatraz Island was a military fort before it became a prison."", ""Aladdin Terrace (off of Taylor Street, Between Filbert and Union)"": """", ""305 Hugo Street"": """", ""1462 Grant Avenue, at Union Street"": """"}",0,0
Nora Prentiss,1947,Warner Bros. Pictures,Warner Bros. Pictures,Vincent Sherman,N. Richard Nash,Ann Sheridan,Kent Smith,Bruce Bennett,"{""Belgravia Apartments (795 Sutter Street at Jones)"": """"}",0,0
Stigmata,1999,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer Distributing,Rupert Wainwright,Tom Lazarus,Patricia Arquette,Gabriel Byrne,,"{""19th and Kansas St."": """"}",0,0
The Maltese Falcon,1941,Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Gladys George,"{""Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Burritt Alley (Off Bush Street, between Powell and Stockton Streets)"": """"}",0,0
Chance - Season 1 ep105,2016,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""State Garage, 818 Leavenworth"": """", ""Maiden Lane between Kearny and Grant"": """", ""60 Leavenworth St."": """", ""The Drew School, 2901 California"": """"}",0,0
American Graffiti,1973,Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,"{""Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)"": ""This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd. "", ""3355 Geary Blvd."": """"}",0,0
The Assassination of Richard Nixon,2004,Anhelo Productions,THINKFilm,Niels Mueller,Niels Mueller & Kevin Kennedy,Sean Penn,Naomi Watts,,"{""Tosca Caf\u00e9 (242 Columbus Avenue, North Beach)"": """", ""766 Sutter Street"": """"}",0,0
The Bridge,2006,Easy There Tiger Productions,IFC Films,Eric Steel,N/A,John Snowden,,,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
Live Nude Girls Unite,2000,Constant Communication,First Run Features,Vicky Funari,Vicky Funari,,,,"{""Lusty Lady Bar (North Beach)"": """"}",0,0
Chance - Season 1ep105,2016,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""Private alley along 20th St. between Tennessee and Minnesota"": """"}",0,0
The Candidate,1972,Redford-Ritchie Productions,Warner Bros. Pictures,Michael Ritchie,Jeremy Larner,Robert Redford,Peter Boyle,,"{""Westin St. Francis Hotel (335 Powell Street, Union Square)"": ""The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.""}",0,0
"Play it Again, Sam",1972,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,"{""Balboa at 22nd Avenue"": """", ""Hyde Street Cable Car"": """", ""The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)"": ""The theater closed in 1985."", ""15-17 Fresno Street"": """", ""Surf Theater (4520 Irving Street)"": """", ""Aquatic Park (Jefferson Street)"": ""Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.""}",0,0
The Core,2003,David Foster Productions,Paramount Pictures,John Amiel,Cooper Lane,Aaron Eckhart,Hilary Swank,,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
Pleasure of His Company,1961,Perlsea Company,Paramount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,Lilli Palmer,"{""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral."", ""2700 Vallejo Street (Pacific Heights)"": """"}",0,0
Chu Chu and the Philly Flash,1981,Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,,"{""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""Transbay Terminal (Mission Street at 1st Street)"": ""Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time."", ""22nd and Carolina Streets (Potrero Hill)"": """"}",0,0
Harold and Maude,1971,Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,,"{""Sutro Baths (Point Lobos Avenue)"": """", ""Golden Gate Park"": """", ""Conservatory of Flowers (Golden Gate Park)"": ""The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.""}",0,0
Hemingway & Gelhorn,2011,"Attaboy Films, For Whom Productions, Home Box Office (HBO)",Home Box Office (HBO),Philip Kaufman,Jerry Stahl & Barbara Turner,Nicole Kidman,Clive Owen,,"{""Muni Metro East (501 Cesar Chavez)"": """"}",0,0
The Love Bug,1968,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,David Tomlinson,"{""100 Block of Lombard Street"": ""Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
